title,provide_salary,company_type,company_size,company_ind,area,experience,education,number,min_wage,max_wage,avg_wage
大数据开发工程师,1.5-3万/月,民营公司,500-1000人,互联网/电子商务,上海-静安区,5-7年经验,本科,招3人,1.5,3.0,2.2
大数据开发工程师,1.5-2万/月,国企,50-150人,贸易/进出口,常熟,3-4年经验,本科,招3人,1.5,2.0,1.8
大数据开发工程师,1.1-2万/月,民营公司,少于50人,计算机软件,苏州-工业园区,1年经验,本科,招1人,1.1,2.0,1.6
大数据技术岗（北京）,1-1.5万/月,国企,暂无,银行,北京,暂无,硕士,招若干人,1.0,1.5,1.2
产品开发类-大数据开发(A1-2),0,事业单位,暂无,计算机服务(系统、数据服务、维修),南京,无需经验,硕士,招若干人,0.0,0.0,0.0
大数据开发工程师(ETL),0.9-2万/月,民营公司,50-150人,计算机软件,北京-朝阳区,2年经验,本科,招1人,0.9,2.0,1.4
大数据开发工程师,1.4-2.8万/月,民营公司,5000-10000人,计算机软件,南京-雨花台区,5-7年经验,本科,招3人,1.4,2.8,2.1
大数据开发讲师,1.5-2万/月,民营公司,50-150人,教育/培训/院校,北京-房山区,3-4年经验,大专,招若干人,1.5,2.0,1.8
软件开发-大数据（深圳）,0,民营公司,暂无,计算机软件,深圳,暂无,本科,招若干人,0.0,0.0,0.0
Java开发工程师（大数据开发）,2.5-3.5万/月,民营公司,少于50人,计算机软件,深圳-南山区,5-7年经验,本科,招2人,2.5,3.5,3.0
大数据开发工程师,0,民营公司,暂无,通信/电信/网络设备,广州,暂无,本科,招若干人,0.0,0.0,0.0
大数据分析工程师,0.8-1.2万/月,国企,暂无,电子技术/半导体/集成电路,泉州,无需经验,本科,招3人,0.8,1.2,1.0
大数据开发工程师,1-1.5万/月,民营公司,50-150人,新能源,东莞-松山湖区,5-7年经验,本科,招2人,1.0,1.5,1.2
大数据开发工程师,1.5-3万/月,民营公司,50-150人,计算机软件,上海-徐汇区,3-4年经验,本科,招1人,1.5,3.0,2.2
大数据开发工程师,0.9-1.5万/月,民营公司,50-150人,计算机软件,南京-江宁区,3-4年经验,本科,招3人,0.9,1.5,1.2
大数据开发工程师,1-2万/月,民营公司,10000人以上,计算机软件,大连-甘井子区,3-4年经验,本科,招1人,1.0,2.0,1.5
Java 大数据开发工程师（汇天）,1.5-3万/月,民营公司,1000-5000人,汽车,广州-天河区,3-4年经验,本科,招1人,1.5,3.0,2.2
大数据开发工程师,1-1.5万/月,民营公司,1000-5000人,服装/纺织/皮革,杭州-江干区,2年经验,本科,招1人,1.0,1.5,1.2
大数据开发工程师,1-1.8万/月,合资,150-500人,互联网/电子商务,广州,3-4年经验,本科,招2人,1.0,1.8,1.4
大数据工程师实训生,4.5-6千/月,民营公司,50-150人,互联网/电子商务,青岛-市南区,无需经验,大专,招6人,0.5,0.6,0.6
大数据应用开发工程师（图像）,1-2万/月,合资,150-500人,计算机软件,武汉-洪山区,5-7年经验,本科,招若干人,1.0,2.0,1.5
大数据开发工程师,1-1.5万/月,民营公司,150-500人,计算机软件,异地招聘,3-4年经验,大专,招1人,1.0,1.5,1.2
大数据开发,1.1-2万/月,民营公司,50-150人,计算机服务(系统、数据服务、维修),上海-静安区,5-7年经验,本科,招1人,1.1,2.0,1.6
41072-大数据应用算法工程师（北京）,0,民营公司,10000人以上,互联网/电子商务,北京,3-4年经验,本科,招1人,0.0,0.0,0.0
高级大数据开发工程师 (MJ000018),1.3-2.3万/月,民营公司,150-500人,网络游戏,武汉-洪山区,3-4年经验,本科,招2人,1.3,2.3,1.8
大数据开发工程师,12-20万/年,合资,150-500人,通信/电信/网络设备,异地招聘,3-4年经验,本科,招1人,1.0,1.7,1.4
大数据开发工程师,1-2万/月,民营公司,150-500人,通信/电信/网络设备,上海-宝山区,2年经验,本科,招2人,1.0,2.0,1.5
大数据ETL开发工程师,1.3-2.2万/月,上市公司,1000-5000人,计算机软件,上海,3-4年经验,本科,招若干人,1.3,2.2,1.8
大数据分析工程师,0.9-1.2万/月,民营公司,150-500人,计算机软件,长沙-芙蓉区,2年经验,本科,招若干人,0.9,1.2,1.1
大数据部-数据挖掘工程师,1-2万/月,民营公司,150-500人,计算机服务(系统、数据服务、维修),长春-高新技术产业开发区,3-4年经验,大专,招3人,1.0,2.0,1.5
大数据开发工程师,1-2万/月,民营公司,150-500人,计算机软件,上海-闵行区,3-4年经验,本科,招5人,1.0,2.0,1.5
大数据开发工程师,2-2.5万/月,国企,500-1000人,金融/投资/证券,异地招聘,2年经验,本科,招3人,2.0,2.5,2.2
大数据开发组长,1.4-2.5万/月,民营公司,150-500人,计算机软件,合肥,5-7年经验,本科,招1人,1.4,2.5,1.9
大数据开发工程师,1.2-2万/月,民营公司,少于50人,计算机软件,南京-雨花台区,3-4年经验,本科,招1人,1.2,2.0,1.6
大数据开发工程师,2-3万/月,民营公司,50-150人,计算机软件,济南-高新区,3-4年经验,硕士,招3人,2.0,3.0,2.5
大数据开发工程师,1-1.8万/月,民营公司,50-150人,计算机软件,上海-闵行区,3-4年经验,本科,招若干人,1.0,1.8,1.4
大数据开发工程师,0.8-1.2万/月,民营公司,少于50人,计算机软件,武汉-洪山区,3-4年经验,大专,招1人,0.8,1.2,1.0
高级大数据开发工程师,3-4万/月,外资（欧美）,少于50人,计算机软件,深圳-福田区,5-7年经验,本科,招1人,3.0,4.0,3.5
技术经理（大数据）,1.2-2万/月,上市公司,1000-5000人,计算机软件,西安,5-7年经验,本科,招1人,1.2,2.0,1.6
大数据工程师（包三餐+六险一金）,1-1.5万/月,合资,1000-5000人,计算机软件,广州-天河区,1年经验,本科,招2人,1.0,1.5,1.2
大数据开发工程师,0.7-1.5万/月,民营公司,150-500人,通信/电信运营、增值服务,海口-龙华区,1年经验,本科,招1人,0.7,1.5,1.1
大数据研发工程师,0.7-1.6万/月,民营公司,少于50人,计算机软件,济南-高新区,1年经验,本科,招5人,0.7,1.6,1.1
大数据开发助理,1-1.5万/月,民营公司,少于50人,计算机软件,上海-黄浦区,1年经验,本科,招若干人,1.0,1.5,1.2
大数据开发工程师,0.8-1.5万/月,民营公司,50-150人,计算机软件,异地招聘,3-4年经验,本科,招1人,0.8,1.5,1.1
大数据研发工程师,1.5-2.5万/月,国企,500-1000人,计算机软件,北京-昌平区,3-4年经验,本科,招2人,1.5,2.5,2.0
大数据开发工程师,1.3-2.5万/月,上市公司,1000-5000人,酒店/旅游,上海-浦东新区,5-7年经验,本科,招1人,1.3,2.5,1.9
大数据交换工程师,0.8-1万/月,民营公司,少于50人,医疗/护理/卫生,杭州-滨江区,1年经验,大专,招1人,0.8,1.0,0.9
大数据高级架构师（成都）,1.2-2.2万/月,国企,150-500人,计算机软件,异地招聘,5-7年经验,本科,招1人,1.2,2.2,1.7
大数据开发工程师（26）深圳,2-4万/月,上市公司,1000-5000人,计算机软件,深圳-福田区,5-7年经验,本科,招10人,2.0,4.0,3.0
（西安）大数据架构师,1-1.5万/月,国企,5000-10000人,计算机软件,西安-雁塔区,3-4年经验,硕士,招1人,1.0,1.5,1.2
中国联通大数据架构师,15-20万/年,国企,10000人以上,专业服务(咨询、人力资源、财会),惠州,3-4年经验,本科,招1人,1.2,1.7,1.4
大数据开发工程师（知识图谱）,1.5-2.5万/月,上市公司,150-500人,计算机服务(系统、数据服务、维修),广州-黄埔区,1年经验,本科,招1人,1.5,2.5,2.0
大数据开发工程师,1.5-2万/月,国企,1000-5000人,计算机服务(系统、数据服务、维修),上海-静安区,3-4年经验,本科,招2人,1.5,2.0,1.8
大数据工程师（高级）,1.1-1.3万/月,国企,150-500人,通信/电信/网络设备,武汉-江汉区,3-4年经验,本科,招1人,1.1,1.3,1.2
大数据开发工程师,1.2-1.8万/月,民营公司,150-500人,计算机软件,深圳-南山区,2年经验,本科,招3人,1.2,1.8,1.5
(大数据)开发工程师,0.6-1万/月,民营公司,150-500人,计算机软件,宁波,3-4年经验,本科,招1人,0.6,1.0,0.8
大数据开发工程师,15-20万/年,国企,1000-5000人,通信/电信/网络设备,石家庄,1年经验,本科,招3人,1.2,1.7,1.4
大数据开发工程师,1-2.5万/月,民营公司,50-150人,网络游戏,广州,3-4年经验,本科,招3人,1.0,2.5,1.8
python大数据分析工程师,0.8-1.6万/月,民营公司,少于50人,计算机软件,海口,3-4年经验,本科,招6人,0.8,1.6,1.2
大数据开发工程师,1.5-2万/月,民营公司,500-1000人,计算机服务(系统、数据服务、维修),上海,暂无,暂无,招1人,1.5,2.0,1.8
大数据开发工程师,15-20万/年,国企,150-500人,通信/电信/网络设备,武汉-江夏区,3-4年经验,本科,招若干人,1.2,1.7,1.4
大数据开发工程师-江苏产互,0,上市公司,10000人以上,通信/电信/网络设备,南京,3-4年经验,本科,招3人,0.0,0.0,0.0
大数据开发工程师,2.5-3万/月,上市公司,1000-5000人,网络游戏,广州,5-7年经验,本科,招1人,2.5,3.0,2.8
100强通讯公司#大数据工程师#,1.2-2万/月,上市公司,10000人以上,计算机软件,深圳-南山区,2年经验,本科,招2人,1.2,2.0,1.6
系统架构设计师（大数据方向）,0,国企,150-500人,计算机软件,北京,5-7年经验,本科,招若干人,0.0,0.0,0.0
智能引擎事业部-大数据开发工程师/专家-杭州,0,上市公司,10000人以上,互联网/电子商务,杭州,3-4年经验,本科,招若干人,0.0,0.0,0.0
大数据架构师,1.5-2万/月,外资（非欧美）,500-1000人,计算机软件,沈阳,10年以上经验,本科,招1人,1.5,2.0,1.8
工业大数据算法专家,3-5万/月,民营公司,10000人以上,通信/电信运营、增值服务,北京-海淀区,5-7年经验,硕士,招1人,3.0,5.0,4.0
大数据工程师（智能连接部-外包）,35.9-36万/年,国企,500-1000人,通信/电信运营、增值服务,上海,无需经验,本科,招若干人,3.0,3.0,3.0
大数据开发工程师,0.8-1万/月,合资,1000-5000人,计算机软件,长沙-天心区,1年经验,大专,招3人,0.8,1.0,0.9
大数据开发工程师,1.5-2.2万/月,外资（非欧美）,500-1000人,多元化业务集团公司,杭州-西湖区,3-4年经验,本科,招1人,1.5,2.2,1.9
大数据资深开发工程师,3-4万/月,上市公司,10000人以上,互联网/电子商务,北京-朝阳区,3-4年经验,暂无,招1人,3.0,4.0,3.5
大数据开发工程师,1.2-2.4万/月,上市公司,10000人以上,影视/媒体/艺术/文化传播,深圳,5-7年经验,本科,招2人,1.2,2.4,1.8
大数据开发工程师,0,外资（欧美）,1000-5000人,专业服务(咨询、人力资源、财会),上海,3-4年经验,本科,招若干人,0.0,0.0,0.0
应用架构师_大数据(digital),0,合资,10000人以上,汽车,北京,1年经验,暂无,招1人,0.0,0.0,0.0
大数据工程师,2-3万/月,外资（欧美）,1000-5000人,汽车,北京,5-7年经验,本科,招1人,2.0,3.0,2.5
系统工程师（大数据） (MJ000289),1-1.5万/月,外资（非欧美）,150-500人,计算机软件,无锡,3-4年经验,本科,招1人,1.0,1.5,1.2
TU9499-.大数据开发,0.8-1.5万/月,外资（非欧美）,10000人以上,通信/电信/网络设备,异地招聘,3-4年经验,本科,招5人,0.8,1.5,1.1
大数据研发工程师,0,外资（非欧美）,1000-5000人,互联网/电子商务,上海,1年经验,硕士,招1人,0.0,0.0,0.0
大数据开发工程师,0.8-1.2万/月,民营公司,50-150人,计算机软件,福州,2年经验,本科,招1人,0.8,1.2,1.0
大数据开发工程师,2-2.5万/月,民营公司,10000人以上,家具/家电/玩具/礼品,佛山-顺德区,8-9年经验,本科,招若干人,2.0,2.5,2.2
Consultant/Sr. Consultant - 大数据开发 - Cloud COE - Consulting - GDC CQ,0,合资,500-1000人,专业服务(咨询、人力资源、财会),重庆,5-7年经验,本科,招若干人,0.0,0.0,0.0
大数据研发工程师,1.5-2.5万/月,上市公司,10000人以上,酒店/旅游,上海-闵行区,3-4年经验,本科,招若干人,1.5,2.5,2.0
大数据架构师,1.5-2万/月,外资（欧美）,500-1000人,专业服务(咨询、人力资源、财会),大连,5-7年经验,本科,招2人,1.5,2.0,1.8
大数据开发工程师,1-2.5万/月,国企,1000-5000人,石油/化工/矿产/地质,成都,1年经验,本科,招5人,1.0,2.5,1.8
大数据安全管理岗,1.5-2万/月,国企,1000-5000人,通信/电信/网络设备,广州-天河区,2年经验,本科,招3人,1.5,2.0,1.8
大数据平台架构师,0.8-1.2万/月,事业单位,1000-5000人,电子技术/半导体/集成电路,成都-金牛区,3-4年经验,硕士,招若干人,0.8,1.2,1.0
研发项目经理（大数据）,1.5-2万/月,上市公司,10000人以上,通信/电信/网络设备,武汉-洪山区,5-7年经验,本科,招1人,1.5,2.0,1.8
大数据经理,2-2.5万/月,国企,5000-10000人,房地产,广州,3-4年经验,本科,招1人,2.0,2.5,2.2
大数据开发岗(J10680),1.5-2万/月,国企,5000-10000人,金融/投资/证券,上海-静安区,3-4年经验,本科,招若干人,1.5,2.0,1.8
2020信息-大数据技术专家,2-3万/月,国企,10000人以上,航天/航空,上海-闵行区,5-7年经验,本科,招若干人,2.0,3.0,2.5
大数据开发工程师,0,事业单位,1000-5000人,计算机服务(系统、数据服务、维修),上海-嘉定区,5-7年经验,硕士,招2人,0.0,0.0,0.0
大数据架构师,1.5-2.5万/月,外资（非欧美）,150-500人,计算机软件,大连-沙河口区,5-7年经验,本科,招2人,1.5,2.5,2.0
大数据开发工程师（无锡）,1-1.5万/月,国企,1000-5000人,电子技术/半导体/集成电路,无锡,3-4年经验,硕士,招若干人,1.0,1.5,1.2
大数据开发工程师（中国联通网络AI中心）,20-40万/年,国企,1000-5000人,通信/电信运营、增值服务,上海-长宁区,3-4年经验,本科,招若干人,1.7,3.3,2.5
资深大数据开发工程师（平台方向）,3-5万/月,上市公司,1000-5000人,互联网/电子商务,上海-浦东新区,5-7年经验,本科,招若干人,3.0,5.0,4.0
大数据开发工程师,20-30万/年,国企,1000-5000人,计算机硬件,杭州,3-4年经验,本科,招若干人,1.7,2.5,2.1
大数据工程师,2-3.5万/月,外资（欧美）,5000-10000人,计算机硬件,北京,2年经验,本科,招1人,2.0,3.5,2.8
大数据算法工程师,0,上市公司,10000人以上,家具/家电/玩具/礼品,青岛,2年经验,本科,招1人,0.0,0.0,0.0
大数据开发工程师(J10035),2-2.5万/月,民营公司,5000-10000人,快速消费品(食品、饮料、化妆品),上海,5-7年经验,硕士,招1人,2.0,2.5,2.2
大数据平台架构师（寰通）,20-30万/年,国企,1000-5000人,制药/生物工程,上海-静安区,5-7年经验,本科,招若干人,1.7,2.5,2.1
大数据挖掘工程师,2-3万/月,上市公司,1000-5000人,网络游戏,上海-徐汇区,2年经验,本科,招1人,2.0,3.0,2.5
中级大数据开发工程师（圆通科技）,1.5-2.5万/月,上市公司,10000人以上,交通/运输/物流,上海-青浦区,2年经验,本科,招1人,1.5,2.5,2.0
大数据开发工程师,1.2-2万/月,民营公司,10000人以上,汽车,深圳,3-4年经验,本科,招1人,1.2,2.0,1.6
大数据开发工程师,1.5-2万/月,民营公司,1000-5000人,网络游戏,厦门,1年经验,本科,招2人,1.5,2.0,1.8
大数据开发工程师,30-40万/年,外资（非欧美）,10000人以上,电子技术/半导体/集成电路,上海-浦东新区,8-9年经验,本科,招3人,2.5,3.3,2.9
