title,provide_salary,company_type,company_size,company_ind,attribute
大数据开发工程师,1.2-1.8万/月,国企,150-500人,通信/电信/网络设备,"['广州-黄埔区', '2年经验', '本科', '招若干人']"
BI大数据驻场工程师,6-8千/月,民营公司,150-500人,计算机软件,"['杭州', '1年经验', '大专', '招1人']"
大数据开发工程师,0.8-1万/月,民营公司,150-500人,互联网/电子商务,"['异地招聘', '3-4年经验', '大专', '招若干人']"
大数据开发工程师,0.9-1.1万/月,民营公司,少于50人,计算机软件,"['成都-武侯区', '2年经验', '本科', '招2人']"
高级java开发工程师（偏大数据方向）,1-1.5万/月,事业单位,150-500人,计算机软件,"['广州-南沙区', '3-4年经验', '本科', '招2人']"
大数据工程师,6-8千/月,民营公司,少于50人,专业服务(咨询、人力资源、财会),"['异地招聘', '1年经验', '本科', '招若干人']"
大数据开发-上海（兴业银行）L,1.5-2.5万/月,民营公司,1000-5000人,计算机软件,"['上海', '3-4年经验', '本科', '招10人']"
大数据开发工程师,0.8-1.1万/月,民营公司,50-150人,通信/电信/网络设备,"['南京-江宁区', '1年经验', '大专', '招若干人']"
大数据云平台架构师,1-1.5万/月,民营公司,50-150人,快速消费品(食品、饮料、化妆品),"['苏州-高新区', '3-4年经验', '大专', '招若干人']"
大数据架构师,2-3万/月,上市公司,500-1000人,批发/零售,"['成都-金牛区', '3-4年经验', '大专', '招2人']"
大数据开发工程师,3-5万/月,民营公司,50-150人,计算机软件,"['上海-普陀区', '8-9年经验', '本科', '招若干人']"
CDH大数据架构师,1.5-3万/月,上市公司,150-500人,计算机软件,"['北京', '5-7年经验', '本科', '招1人']"
大数据开发工程师,1.5-2.5万/月,民营公司,1000-5000人,教育/培训/院校,"['上海-浦东新区', '3-4年经验', '本科', '招3人']"
100强通讯公司#大数据工程师#,1.2-2万/月,上市公司,10000人以上,计算机软件,"['深圳-南山区', '2年经验', '本科', '招2人']"
阿里云智能事业群-资深解决方案架构师-大数据及AI方向,,上市公司,10000人以上,互联网/电子商务,"['杭州', '5-7年经验', '本科', '招若干人']"
大数据开发工程师,,外资（欧美）,1000-5000人,专业服务(咨询、人力资源、财会),"['上海', '3-4年经验', '本科', '招若干人']"
应用架构师_大数据(digital),,合资,10000人以上,汽车,"['北京', '1年经验', '招1人']"
大数据工程师,2-3万/月,外资（欧美）,1000-5000人,汽车,"['北京', '5-7年经验', '本科', '招1人']"
大数据开发工程师,2.5-3万/月,外资（欧美）,150-500人,批发/零售,"['上海', '5-7年经验', '本科', '招1人']"
hadoop大数据开发工程师,1.5-2.5万/月,国企,50-150人,计算机软件,"['合肥-包河区', '3-4年经验', '本科', '招3人']"
大数据开发工程师（中国联通网络AI中心）,20-40万/年,国企,1000-5000人,通信/电信运营、增值服务,"['上海-长宁区', '3-4年经验', '本科', '招若干人']"
大数据开发工程师,1.2-2.4万/月,民营公司,10000人以上,影视/媒体/艺术/文化传播,"['深圳', '5-7年经验', '本科', '招2人']"
系统架构设计师（大数据方向）,,国企,150-500人,计算机软件,"['北京', '5-7年经验', '本科', '招若干人']"
大数据安全管理岗,1.5-2万/月,国企,1000-5000人,通信/电信/网络设备,"['广州-天河区', '2年经验', '本科', '招3人']"
大数据工程师,1.5-2.5万/月,民营公司,10000人以上,家具/家电/玩具/礼品,"['上海-青浦区', '3-4年经验', '本科', '招1人']"
